Date,Time,Station,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction_Deg,Wind_Direction_Label,Rainfall
2026-04-07,22:50:05,IDA Pashamylaram SPCB,25.21,27.0,1009.0,0.72,340.0,N,0.0
2026-04-07,22:50:05,Sanathnagar SPCB,26.49,25.0,1008.0,1.28,3.0,N,0.0
2026-04-07,22:50:05,US Consulate,25.49,26.0,1009.0,0.97,359.0,N,0.0
2026-04-07,22:50:05,Uppal SPCB,26.55,25.0,1008.0,1.13,354.0,N,0.0
2026-04-07,22:50:05,Zoo Park SPCB,25.87,26.0,1009.0,0.91,7.0,N,0.0
2026-04-08,22:52:56,Balanagar SPCB,27.92,27.0,1009.0,3.04,326.0,NW,0.0
2026-04-08,22:52:56,HITEC City,27.12,28.0,1009.0,3.06,330.0,NW,0.0
2026-04-08,22:52:56,IDA Pashamylaram SPCB,26.63,31.0,1009.0,2.96,341.0,N,0.0
2026-04-08,22:52:56,Sanathnagar SPCB,27.92,27.0,1009.0,3.04,326.0,NW,0.0
2026-04-08,22:52:56,US Consulate,26.94,28.0,1009.0,3.09,333.0,NW,0.0
2026-04-08,22:52:56,Uppal SPCB,27.91,29.0,1009.0,2.56,317.0,NW,0.0
2026-04-08,22:52:56,Zoo Park SPCB,27.28,29.0,1009.0,2.55,317.0,NW,0.0
2026-04-09,22:52:44,Balanagar SPCB,26.86,60.0,1011.0,1.97,111.0,E,0.0
2026-04-09,22:52:44,HITEC City,26.43,54.0,1011.0,1.63,110.0,E,0.0
2026-04-09,22:52:44,IDA Pashamylaram SPCB,26.66,42.0,1011.0,0.76,77.0,E,0.0
2026-04-09,22:52:44,Sanathnagar SPCB,26.86,60.0,1011.0,1.97,111.0,E,0.0
2026-04-09,22:52:44,US Consulate,26.45,52.0,1011.0,1.47,107.0,E,0.0
2026-04-09,22:52:44,Uppal SPCB,26.45,71.0,1011.0,1.91,105.0,E,0.0
2026-04-09,22:52:44,Zoo Park SPCB,26.22,64.0,1011.0,1.62,115.0,SE,0.0
2026-04-10,22:48:26,Balanagar SPCB,27.25,53.0,1010.0,2.42,115.0,SE,0.0
2026-04-10,22:48:26,HITEC City,26.77,49.0,1010.0,2.16,116.0,SE,0.0
2026-04-10,22:48:26,IDA Pashamylaram SPCB,26.98,37.0,1010.0,2.42,105.0,E,0.0
2026-04-10,22:48:26,Sanathnagar SPCB,27.25,53.0,1010.0,2.42,115.0,SE,0.0
2026-04-10,22:48:26,US Consulate,26.76,47.0,1010.0,2.11,115.0,SE,0.0
2026-04-10,22:48:26,Uppal SPCB,26.94,63.0,1010.0,2.02,113.0,SE,0.0
2026-04-10,22:48:26,Zoo Park SPCB,26.67,57.0,1010.0,1.67,131.0,SE,0.0
2026-04-11,22:41:12,Balanagar SPCB,28.31,33.0,1008.0,2.18,100.0,E,0.0
2026-04-11,22:41:12,HITEC City,27.75,33.0,1008.0,2.1,95.0,E,0.0
2026-04-11,22:41:12,IDA Pashamylaram SPCB,27.78,30.0,1008.0,2.24,108.0,E,0.0
2026-04-11,22:41:12,Sanathnagar SPCB,28.31,33.0,1008.0,2.18,100.0,E,0.0
2026-04-11,22:41:12,US Consulate,27.71,33.0,1008.0,2.11,95.0,E,0.0
2026-04-11,22:41:12,Uppal SPCB,27.87,40.0,1008.0,1.78,91.0,E,0.0
2026-04-11,22:41:12,Zoo Park SPCB,27.58,38.0,1008.0,1.77,85.0,E,0.0
2026-04-12,22:44:06,Balanagar SPCB,29.07,42.0,1008.0,3.53,188.0,S,0.0
2026-04-12,22:44:06,HITEC City,28.24,44.0,1008.0,3.82,189.0,S,0.0
2026-04-12,22:44:06,IDA Pashamylaram SPCB,27.97,46.0,1008.0,3.71,184.0,S,0.0
2026-04-12,22:44:06,Sanathnagar SPCB,29.07,42.0,1008.0,3.53,188.0,S,0.0
2026-04-12,22:44:06,US Consulate,28.08,44.0,1008.0,3.88,189.0,S,0.0
2026-04-12,22:44:06,Uppal SPCB,28.9,44.0,1008.0,2.89,189.0,S,0.0
2026-04-12,22:44:06,Zoo Park SPCB,28.19,45.0,1008.0,3.97,196.0,S,0.0
2026-04-13,22:53:38,Balanagar SPCB,29.11,41.0,1008.0,3.01,180.0,S,0.0
2026-04-13,22:53:38,HITEC City,28.67,42.0,1008.0,3.04,182.0,S,0.0
2026-04-13,22:53:38,IDA Pashamylaram SPCB,28.99,42.0,1008.0,3.3,178.0,S,0.0
2026-04-13,22:53:38,Sanathnagar SPCB,29.11,41.0,1008.0,3.01,180.0,S,0.0
2026-04-13,22:53:38,US Consulate,28.67,42.0,1008.0,3.07,182.0,S,0.0
2026-04-13,22:53:38,Uppal SPCB,28.64,44.0,1008.0,2.51,183.0,S,0.0
2026-04-13,22:53:38,Zoo Park SPCB,28.57,43.0,1008.0,2.9,190.0,S,0.0
2026-04-14,22:53:55,Balanagar SPCB,29.72,35.0,1006.0,2.56,194.0,S,0.0
2026-04-14,22:53:55,HITEC City,28.96,36.0,1007.0,2.72,199.0,S,0.0
2026-04-14,22:53:55,IDA Pashamylaram SPCB,29.0,37.0,1007.0,3.05,197.0,S,0.0
2026-04-14,22:53:55,Sanathnagar SPCB,29.72,35.0,1006.0,2.56,194.0,S,0.0
2026-04-14,22:53:55,US Consulate,28.86,37.0,1007.0,2.81,200.0,S,0.0
2026-04-14,22:53:55,Uppal SPCB,29.54,36.0,1006.0,2.0,198.0,S,0.0
2026-04-14,22:53:55,Zoo Park SPCB,28.93,37.0,1007.0,2.61,204.0,SW,0.0
2026-04-15,22:51:07,Balanagar SPCB,26.47,41.0,1006.0,3.19,179.0,S,0.0
2026-04-15,22:51:07,HITEC City,26.16,40.0,1006.0,3.36,181.0,S,0.0
2026-04-15,22:51:07,IDA Pashamylaram SPCB,28.72,36.0,1006.0,3.66,183.0,S,0.0
2026-04-15,22:51:07,Sanathnagar SPCB,26.4,41.0,1006.0,3.19,179.0,S,0.0
2026-04-15,22:51:07,US Consulate,26.25,39.0,1006.0,3.43,182.0,S,0.0
2026-04-15,22:51:07,Uppal SPCB,26.74,46.0,1006.0,2.67,181.0,S,0.0
2026-04-15,22:51:07,Zoo Park SPCB,26.65,65.0,1006.0,0.0,0.0,N,0.0
2026-04-16,22:53:06,Balanagar SPCB,30.61,36.0,1007.0,3.0,146.0,SE,0.0
2026-04-16,22:53:06,HITEC City,30.7,34.0,1007.0,3.01,156.0,SE,0.0
2026-04-16,22:53:06,IDA Pashamylaram SPCB,31.24,34.0,1007.0,3.11,171.0,S,0.0
2026-04-16,22:53:06,Sanathnagar SPCB,30.61,36.0,1007.0,3.0,146.0,SE,0.0
2026-04-16,22:53:06,US Consulate,30.86,34.0,1007.0,3.05,160.0,S,0.0
2026-04-16,22:53:06,Uppal SPCB,29.72,42.0,1007.0,2.69,133.0,SE,0.0
2026-04-16,22:53:06,Zoo Park SPCB,30.42,36.0,1007.0,2.6,152.0,SE,0.0
2026-04-17,22:52:43,Balanagar SPCB,29.45,37.0,1007.0,2.71,142.0,SE,0.0
2026-04-17,22:52:43,HITEC City,28.9,38.0,1007.0,2.79,141.0,SE,0.0
2026-04-17,22:52:43,IDA Pashamylaram SPCB,29.19,39.0,1007.0,2.8,144.0,SE,0.0
2026-04-17,22:52:43,Sanathnagar SPCB,29.45,37.0,1007.0,2.71,142.0,SE,0.0
2026-04-17,22:52:43,US Consulate,28.87,38.0,1007.0,2.82,141.0,SE,0.0
2026-04-17,22:52:43,Uppal SPCB,28.94,41.0,1007.0,2.09,137.0,SE,0.0
2026-04-17,22:52:43,Zoo Park SPCB,28.68,40.0,1007.0,2.48,138.0,SE,0.0
2026-04-18,22:44:40,Balanagar SPCB,30.33,34.0,1006.0,3.04,190.0,S,0.0
2026-04-18,22:44:40,HITEC City,29.43,35.0,1006.0,3.21,188.0,S,0.0
2026-04-18,22:44:40,IDA Pashamylaram SPCB,29.11,37.0,1006.0,3.2,174.0,S,0.0
2026-04-18,22:44:40,Sanathnagar SPCB,30.33,34.0,1006.0,3.04,190.0,S,0.0
2026-04-18,22:44:40,US Consulate,29.24,36.0,1006.0,3.23,186.0,S,0.0
2026-04-18,22:44:40,Uppal SPCB,30.23,35.0,1006.0,2.29,194.0,S,0.0
2026-04-18,22:44:40,Zoo Park SPCB,29.51,36.0,1006.0,3.25,199.0,S,0.0
2026-04-19,22:46:11,Balanagar SPCB,29.8,43.0,1007.0,1.57,170.0,S,0.0
2026-04-19,22:46:11,HITEC City,29.04,44.0,1007.0,1.57,180.0,S,0.0
2026-04-19,22:46:11,IDA Pashamylaram SPCB,29.09,44.0,1007.0,2.12,184.0,S,0.0
2026-04-19,22:46:11,Sanathnagar SPCB,29.8,43.0,1007.0,1.57,170.0,S,0.0
2026-04-19,22:46:11,US Consulate,28.94,45.0,1007.0,1.67,183.0,S,0.0
2026-04-19,22:46:11,Uppal SPCB,29.19,47.0,1007.0,1.21,128.0,SE,0.0
2026-04-19,22:46:11,Zoo Park SPCB,28.66,48.0,1008.0,0.84,181.0,S,0.0
2026-04-20,22:54:44,Balanagar SPCB,28.91,42.0,1007.0,2.48,98.0,E,0.0
2026-04-20,22:54:44,HITEC City,28.42,41.0,1007.0,2.1,89.0,E,0.0
2026-04-20,22:54:44,IDA Pashamylaram SPCB,28.64,40.0,1007.0,1.23,86.0,E,0.0
2026-04-20,22:54:44,Sanathnagar SPCB,28.91,42.0,1007.0,2.48,98.0,E,0.0
2026-04-20,22:54:44,US Consulate,28.4,41.0,1007.0,1.97,84.0,E,0.0
2026-04-20,22:54:44,Uppal SPCB,28.83,45.0,1007.0,2.74,100.0,E,0.0
2026-04-20,22:54:44,Zoo Park SPCB,28.64,43.0,1007.0,2.03,90.0,E,0.0
2026-04-21,22:48:22,Balanagar SPCB,27.47,43.0,1008.0,2.65,135.0,SE,0.0
2026-04-21,22:48:22,HITEC City,27.16,43.0,1008.0,1.98,127.0,SE,0.0
2026-04-21,22:48:22,IDA Pashamylaram SPCB,27.96,44.0,1008.0,1.3,149.0,SE,0.0
2026-04-21,22:48:22,Sanathnagar SPCB,27.4,43.0,1008.0,2.65,135.0,SE,0.0
2026-04-21,22:48:22,US Consulate,27.25,43.0,1008.0,1.7,123.0,SE,0.0
2026-04-21,22:48:22,Uppal SPCB,27.74,45.0,1008.0,3.11,143.0,SE,0.0
2026-04-21,22:48:22,Zoo Park SPCB,27.65,41.0,1008.0,2.57,200.0,S,0.0
2026-04-22,22:55:27,Balanagar SPCB,27.47,30.0,1006.0,2.43,192.0,S,0.0
2026-04-22,22:55:27,HITEC City,27.16,32.0,1006.0,3.05,199.0,S,0.0
2026-04-22,22:55:27,IDA Pashamylaram SPCB,30.29,32.0,1006.0,2.95,196.0,S,0.0
2026-04-22,22:55:27,Sanathnagar SPCB,27.4,30.0,1006.0,2.43,192.0,S,0.0
2026-04-22,22:55:27,US Consulate,27.25,32.0,1006.0,3.19,200.0,S,0.0
